Sadness Lexicons,Sadness Sentences,Joy Lexicons,Joy Sentences,Fear Lexicons,Fear Sentences,Anger Lexicons,Anger Sentences,Surprise Lexicons,Surprise Sentence,Disgust Lexicons,Disgust Sentences,Sadness + Joy Lexicons,Sadness + Joy Sentences,Fear + Anger Lexicons,Fear + Anger Sentences,Surprise + Disgust Lexicons,Surprise + Disgust Sentences,Sadness + Joy + Fear Lexicons,Sadness + Joy + Fear Sentences
"abduction, devastate","The devastating news of the child's abduction left a
 solemn shadow over the family for the next month.","child, laughter, sunny","It was a sunny summer morning and the laughter of
 children could be heard from the pool as they splashed water onto each other.",shiver,"As he walked in the dead of night he could hear sudden
 footsteps echoing from the alleyway, a shiver went down his spine.",reckless,"While driving his family to a restaurant a car recklessly
 changed lanes barely missing him, his face flushed red with fury knowing how
 close his family was to being seriously harmed.","startle, unexpected","She was startled unexpectedly as everyone sprang from
 their hiding spot to celebrate her birthday",trash,"She had forgotten to take out the trash before leaving for
 holiday, when she returned she was repulsed by the stench of decaying food.","melancholy, pleasant","When I visited my old childhood home, I felt a wave of
 bittersweet nostalgia as I remembered the pleasant memories in that house,
 while also feeling melancholy as I’d never get to experience those moments
 again.","fearful, harm, provoking, rage","Tom was fearful of his bully and remained docile while
 being picked on to avoid provoking the bully into a fit of rage where Tom may be
 harmed.","revolting, shock","He opened the package of his food delivery and was
shocked to see a dead insect laying on top his food, the idea of accidentally
eating it revolted him.","anxious, proud, sorrowful","The parents watched their son leave for college and
 were proud of his accomplishment, at the sametime they were sorrowful that he
 would no longer live with them and anxious that he would be alone to face his
 challenges."
"wretched, wrongly",The wretched people have chosen wrongly.,"youth, zeal",The youth are filled with zeal.,"abandoned, yell, youth",The abandoned youth could be heard yelling.,"abolish, wrongful",We must abolish it for its wrongful acts.,yelp,"He let out a yelp when his friend jumped out from the
corner.",abhorrent,The mysterious slime emitted an abhorrent smell.,"abysmal, advance","They have advanced to the next round, despite their
abysmal start.","animosity, agitation"," His animosity was made worse by the repeated
agitation.","bewildered, appalling",She was bewildered by their appalling behavior.,"apologize, admirable, aggression, afraid","After seeing the group’s admirable performance, the leader apologized for his earlier aggression. He admitted that he was only afraid of losing."
"Stifle, Mausoleum","She was not fond of graveyards, let alone the
mausoleum. A sudden noise startled her, and she stifled a gasp.","Fidelity, Praiseworthy","Ms. Smith taught the lesson to fidelity. The observers
agreed her methods and style were praiseworthy.","
Abyss, Cripple","Leaning over the edge, I peered into the abyss. A fall
from this height would surely cripple me.","Mock, Violence","Your actions make a mockery of ethics! I must practice
restraint, lest I resort to violence.","Jolt, Shatter","The sound of my alarms jolts me awake. It shatters the
silence of my empty bedroom.","Unnatural, Plague, Grotesque","His illness left his skin unnatural, like plastic. He is not the
only one suffering from this grotesque plague.","Winning, Closure","Despite finally winning, I feel robbed of closure.","Abomination, Monstrosity, Affront","What you have created is an abomination, a bonafide
monstrosity, and affront to all things holy!","Rave, Betray, Dreadfully","Enough of your dreadful raving... Did you forget that
you were the one who betrayed me?
","Endless, Destination, Retirement, Weight","So begins an endless journey with no destination. The
weight of retirement is too heavy these days."
"abandon,abandoned,abandonment,abduction,abortion,abortive,abscess,absence,absent,absentee,abuse,abysmal,abyss,accident,accursed,ache,aching,adder,adrift,adultery,adverse,adversity,afflict,affliction,affront,aftermath,aggravating,agony,ail,ailing,alcoholism,alienated,alienation,anathema,anchorage,anguish,animosity,annihilated,annihilation,annulment,anthrax,antisocial,anxiety,apathetic,apathy,apologize,appendicitis,arid,arraignment,arsenic,
","I’m feeling very anxious about going back to work next week. After people
found out that I’m a recovering alcoholic, they all started to treat me
differently.","absolution, abundance,abundant,accolade,accompaniment,accomplish,accomplished,achieve,achievement,acrobat,admirable,admiration,adorable,adoration,adore,advance,advent,advocacy,aesthetics,affection,affluence,alive,allure,aloha,amazingly,ambition,amen,amicable,amnesty,amour,amuse,amused,amusement,amusing,angel,angelic,animated,applause,appreciation,approve,ardent,art,aspiration,aspire,aspiring,astonishment,atone,auspicious,authentic,award,","The women’s soccer team was proud that they achieved their goal of
placing 1st in their league.
There’s an adorable puppy at the library.","abandon,abandoned,abandonment,abduction,abhor,abhorrent,abominable,abomination,abortion,absence,abuse,abyss,accident,accidental,accursed,accused,accuser,accusing,acrobat,adder,adjudicate,admonition,adrift,advance,adverse,adversity,afflict,affliction,affront,afraid,aftermath,aga,aggression,aggressive,aggressor,aghast,agonizing,agony,ailing,alarm,alarming,alcoholism,alertness,alerts,alien,alienation,ambulance,ambush,anaconda,anarchism,","I’m afraid we might get trapped in the cave since the water levels are
rising at an alarming rate.","abandoned,abandonment,abhor,abhorrent,abolish,abomination,abuse,accursed,accusation,accused,accuser,accusing,actionable,adder,adversary,adverse,adversity,advocacy,affront,aftermath,aggravated,aggravating,aggravation,aggression,aggressive,aggressor,agitated,agitation,agony,alcoholism,alienate,alienation,allegation,altercation,ambush,anarchism,anarchist,anarchy,anathema,anger,angry,anguish,animosity,animus,annihilate,annihilated,annihilation,annoy,annoyance,annoying,","After getting yelled at for 30 minutes, Sam became agitated and decided
to quit because he couldn’t handle one more second in that aggressive
work environment.","underestimate,undiscovered,unexpected,unexpectedly,unforeseen,unfulfilled,unguarded,unimaginable,unintended,unintentional,unintentionally,unique,unprecedented,unpredictable,unstable,unsuspecting,urgency,urgent,vanish,vanished,variable,veer,veracity,victimized,violation,violent,visor,volatility,volcano,vote,warn,warned,weight,whim,wild,wildfire,winner,winning,wireless,wizard,wonderful,wonderfully,worm,wreck,yell,yelp,young,youth,zany,zeal,",I underestimated how urgent the call was.,"aberration,abhor,abhorrent,abject,abnormal,abominable,abomination,abortion,abundance,abuse,accusation,actionable,adder,adultery,adverse,affliction,affront,aftermath,aggravation,aghast,airs,alcoholism,alien,alienate,alienation,wasted,wasteful,wasting,weight,weird,wench,whine,whore,wickedness,wimp,wimpy,wince,winning,witch,withered,woe,woefully,worsening,worthless,wrangling,wreck,wretch,wretched,wrongdoing,wrongful,","I can’t believe how wasteful the food industry can be.
How can people be okay with this wretched behavior?
Johnny B. became a wreck the aliens abducted him.","true,twinkle,unbeaten,unconstrained,undying,unexpected,unification,unsurpassed,untie,uplift,utopian,vacation,venerable,veracity,vernal,victor,victorious,victory,vindication,virtuous,visionary,visitor,vitality,vivacious,vivid,volunteer,voluptuous,vote,vow,wages,wealth,weight,welcomed,whim,whimsical,white,whiteness,winner,winning,winnings,witty,wonderful,wonderfully,worship,yearning,young,youth,zeal,zealous,zest,abandon,abandoned,abandonment,abduction,abortion,abortive,abscess,absence,absent,absentee,abuse,abysmal,abyss,accident,accursed,ache,aching,adder,adrift,adultery,adverse,adversity,afflict,affliction,affront,aftermath,aggravating,agony,ail,ailing,alcoholism,alienated,alienation,anathema,anchorage,anguish,animosity,annihilated,annihilation,annulment,anthrax,antisocial,anxiety,apathetic,apathy,apologize,appendicitis,arid,arraignment,arsenic,","Although my heart aches because I will never be able to accomplish my
dream of climbing Mt. Everest, I’m grateful for the accomplishments that I
have made so far.","vermin,versus,veto,vicious,victim,victimized,villainous,vindicate,vindictive,violation,violence,violent,violently,virulence,volatility,vote,vulgarity,waffle,warden,warfare,warlike,warp,warrior,wasted,wasteful,wench,whip,willful,wimpy,wince,wireless,witch,witchcraft,wop,words,worthless,wound,wrangling,wrath,wreak,wreck,wrecked,wretch,wring,wrongdoing,wrongful,wrongly,yell,yelp,youth,volunteer,vulnerability,vulture,wail,wan,war,warden,ware,warfare,warlike,warlock,warn,warned,warning,warrior,wary,wasting,watch,waver,weakly,weight,weighty,weirdo,whimper,whirlpool,whirlwind,wicked,wilderness,wildfire,wimp,wimpy,wince,witch,witchcraft,withstand,woe,worry,worrying,worse,worship,wound,wrangling,wrath,wreck,wrecked,wrongly,xenophobia,yell,yelp,youth,","I hate Tony for wrongfully accusing me of stealing, but I’m afraid that if I
confront him he’ll get aggressive.","underestimate,undiscovered,unexpected,unexpectedly,unforeseen,unfulfilled,unguarded,unimaginable,unintended,unintentional,unintentionally,unique,alienate,alienation,wasted,wasteful,wasting,weight,weird,wench,whine,whore,aberration,abhor,abhorrent,abject,abnormal,abominable,abomination,abortion,abundance,abuse,","When we looked under the couch we found the unimaginable, an
abundance of weird cockroaches.","wail,wallow,wan,wane,wanting,warfare,warp,wasteful,wasting,weakly,wearily,weariness,weary,weeds,weep,weeping,weight,whimper,whine,widow,widower,wilderness,wildfire,willful,wimpy,wince,winning,witchcraft,withdraw,wither,woe,woeful,woefully,worn,worried,worry,worrying,worse,worsening,worthless,wound,wrangling,wreck,wrecked,wretch,wretched,wrinkled,wrongdoing,wrongful,wrongly,true,twinkle,unbeaten,unconstrained,undying,unexpected,unification,unsurpassed,untie,uplift,utopian,vacation,venerable,veracity,vernal,victor,victorious,victory,vindication,virtuous,visionary,visitor,vitality,vivacious,vivid,volunteer,voluptuous,vote,vow,wages,wealth,weight,welcomed,whim,whimsical,white,whiteness,winner,winning,winnings,witty,wonderful,wonderfully,worship,yearning,young,youth,zeal,zealous,zest,volunteer,vulnerability,vulture,wail,wan,war,warden,ware,warfare,warlike,warlock,warn,warned,warning,warrior,wary,wasting,watch,waver,weakly,weight,weighty,weirdo,whimper,whirlpool,whirlwind,wicked,wilderness,wildfire,wimp,wimpy,wince,witch,witchcraft,withstand,woe,worry,worrying,worse,worship,wound,wrangling,wrath,wreck,wrecked,wrongly,xenophobia,yell,yelp,youth,","She starts to weep because she knows that I might not survive this but I
see the twinkle in her eye when she smiles at me as she remembers all of
the memories we have made together before the ambulance doors close."
lonely,"Sometimes I feel like something is wrong with me
because I feel lonely even though I am surrounded by people.","engaged, rekindle","It's crazy to see that Jane and Mike were able to rekindle
their friendship and now they’re engaged.","onfined, tumor, scare","Ever since the doctors found a tumor in Jessie’s brain,
she’s been confined to her room and I’m scared she’s not doing well mentally.","grudge, incompetent","I cannot believe that you’re still holding a grudge against
me for the argument when you were the one that was incompetent enough to let
the dog outside without a collar.","celebrity, aspiration","It’s always been an aspiration of mine to be a celebrity
and I just got a call that I’ve been casted in a movie!",nasty,"I think it’s so nasty that he’s a grown man and still stands
by the ten second rule.","tough, closure, glad","It must have been tough to find out all the details of her
brother’s murder, but I’m glad she got closure about why her brother was
missing.","insane, inhumane","It’s insane how Daniel was able to act normal even
though we learned how he inhumanely killed all those cats.","catastrophe, lawsuit, distress, wretched","It’s concerning how Pearson isn’t in much distress
considering the amount of catastrophe that unfolded after he got that wretched
lawsuit.","abandoned, youth, brutal, abuse","It really makes you wonder what people are capable of
seeing these brutally abused pets that have been abandoned on the streets, but
at least the youth are planning an event to find them new homes."
"wrongful, abandoned","The abandoned child looked up with sad eyes, and I felt
helpless.","favoriable, feeling","The clerk asked the child for a small favor of having him
promote the store with flyers.","foreigner, coldness","The unnerving noises and echoes coming from the area
made me feel foreign and scared.","outburst, payback","The child’s outburst left everyone shocked and scared, as
he was boiling with anger.","Unexpected, wild","My heart beat with joy when I unexpectedly ran into a
friend who I haven’t seen in a long time.","smell, squirm","The awful smell coming from the animal made my
stomach turn.","holocaust, hope","The survivors of the holocaust carry with them the
determination to restore hope.","busted, cursed","When the officer pulled him over, he knew he was
busted and cursed for getting himself into trouble.","appalling, ashamed","I felt appalled and ashamed when there were negative
controversies surrounding me.","regret, uplift, panic","I regret not taking the job opportunity, as I panicked at
the last minute, but I felt a sense of uplift as I knew the company was not a good
fit."
agony,"The death of her dog left her in deep agony that seemed
to never end.",happy,"After months of hard work, the team was happy to finally
achieve their goal of winning the state basketball championship.",afraid,"He was afraid of heights and refused to get on the roller
coaster at the theme park.
",angry,"She was so angry when she found out that the festival
had been canceled.",amaze,"The unexpected twist at the end of the movie amazed me
and left me in awe.",unpleasant,"The smell of rotten food was so unpleasant that it made
me feel nauseous.","ashamed, amused","Although he was deeply ashamed of his past mistakes,
he couldn't help but be amused by how far he had come.","fearful, furious","Watching the opponent score the tying point made me
feel both furious at myself for not trying harder, and fearful of losing my chance at
winning the league title.","alarming, atrocious, awful","The awful smell from the dumpster was alarming
because it made everyone aware of the atrocious conditions in the factory.","cry, enjoy, delightful, panic","The delightful secluded garden made her cry tears of
sadness. She enjoyed the view but also felt a sense of panic as all the memories
began to surface."
"Blunder, crushed, tragedy","As my hand left the piece I felt crushed by the tragedy of
my blunder.","Delighted, serenity, unconstrained","I delighted in the unconstrained serenity of the scene in
front of me, not an atom out of place.","aghast, disappears, prison, towering","All hope disappears as they look aghast at the prison
towering above them.","malice, rampage, crazed,","You can see the crazed malice in their eyes as they
continue their rampage.","raffle, gamblers, jackpot","I couldn't believe the raffle jackpot was awarded to a
group of gamblers in a small town in Ohio.","sick, hog's, phlegm",The sick hog's snout drips with phlegm.,"retirement, hymn, heartfelt","We sang one last hymn before our beloved director
entered retirement.","assassin, traitor, terrorize","You can't allow an assassin and a traitor to terrorize
everyone in their path.",,,,
"Lonely, longing","Having recently moved into the neighborhood, the boy is feeling lonely and longing for a
friend to keep him company.","Heartily, complement","She laughed heartily after someone had told her how well the vibrant colors on her dress
complemented her eye color.","Thumping, attacking, gory, creature","My heart was thumping heavily as I was attacking the slimy, gory creature that appeared
out of nowhere.","Disapprove, unpaid","The teachers disapprove of the fact that they are unpaid for their tutoring sessions held
after school hours.","Spectacular, vanished","In a matter of minutes, the spectacular rainbow that arched over Niagara Falls vanished,
leaving onlookers speechless in its wake.","Nauseous, sickly, butcher, pig",The girl felt nauseous and sickly while watching the butcher chop up the roasted pig.,"Art, heartfelt","It's cruel that some individuals are unable to showcase their beautiful artwork in a
gallery, despite putting in so much time and pouring their heartfelt emotions into it.","Accused, robbery, criminal","The man was falsely accused of robbery because the criminal shared the same make
and model of car.","Scorpion, slaughter","
As she looked down, the girl flinched at the sight of the red scorpion below her as it
slaughtered its prey.","Opera, destination","As the pianist played a soulful ballad on the public piano accompanied by an opera
singer, the bustling crowd stopped to watch, causing further delay for those rushing to their
destination."
"Robbery, Dying, Hospital, Crippled, Horror
","As my grandfather laid on the hospital bed dying, recounting the robbery that
crippled him, I listened in horror for the duration of my visit.","Amusing, Charity, Heartily, Abundance, Aspire, Love, Generous","I love the amusing moments on social media where people heartily donate to
charity. Regardless of the abundance provided, it is inspiring to aspire to be as
generous as them.","Hysteria, Lifeless, Kill, Thrill, Homeless, Overpowering, Deadly, Accident","I had a deadly encounter with an overpowering homeless person on campus. I
had been strangled, where, in the thrill of the moment, I kill him on accident. I
know I should have shown restraint, otherwise I would not see his lifeless body
leading to my hysteria.","Disobedience, Murder, Hit, Violently, Insane, Youth, Slavery, Discontent, Stolen","Nothing fills up my discontent more than slavery. Many of these people are
kidnapped and stolen of their youth. There are insane people who violently hit
them, sometimes even murder due to disobedience.","Unimaginable, Erratic, Youth, Scream, Slip, Murderous, Trip, Stealthily,
Playground","I was in the playground where my brother stealthily made me trip. I had
murderous intent to get back at him, so I slip sand down his pants causing him to
scream. This was in our youth and my erratic behavior was unimaginable.","Slaughter, Depressing, Filth, Soiled, Intense, Pig","I saw a pig under the intense sunlight all soiled in filth. It is depressing that this is
what happens before they are slaughtered.","Retirement, Peace, Flirt, Death, Savor","I find that my retirement is nearing. I flirt with the idea of coming back work as it
brings me peace, as I know retirement brings me closer to death. I, however, now
get to savor all this free time I wished for. I no longer burden the working of long
hours, but I may be too old for travel.","uneasy, policeman, prison, quiver, suffocating, upset, brunt, accused, murderer","I’m labeled as a murderer now and in prison. I was wrongfully accused. I quiver
under the suffocating thought of the policeman arresting me. The meals I eat
here are the brunt of pig fodder making me very upset and uneasy.","Scream, Emergency, Yelp, Suddenly, Dreadfully, Manslaughter, Snake, Mucus, Questionable","I suddenly yelp as there is an emergency. I have been drenched with a
questionable mucus by a snake. I dreadfully scream as if I have just seen
manslaughter.","Longing, Distress, Childhood, Jovial, Honest, Demise, Unsafe, Escaped","He was honest with me, there is no better place he could be now. He has
escaped his distress. No more will he suffer anymore; however, it is genetic. I am
unsafe, there is no way around it. My grandfather was jovial and completed my childhood. Now, I am longing for my possible inevitable demise."
"Sufferer, homesick, remorse, lowest, devastating, demise
","He is suffering with remorse because he is homesick, reaching the lowest point in
his life.
The realization that his demise was imminent devastated him.","Merry, chuckle, perfection, festive, succeed","They chuckled together as they enjoyed the festivities.
She was merry as she succeeded in achieving her goal of becoming a software
engineer
His mom chuckled as the perfected dinner succeeded in bringing her family back
Together.
With a sense of perfection, he prepared a festive dinner that succeeded in
bringing his family back together, making his mom chuckle with joy.","Anxiety, scare, invade, hostilities, squeamish","As he trembled in fear of his enemy, anxiety slowly crept over him.
Their actions frightened the children, leaving them feeling squeamish and
uneasy.
The marching steps of the hostiles invading left everyone frozen in fear.","Raging, betray, violent, malevolent, uprising","Betrayed and filled with rage, she initiated an uprising to seek revenge.
The violent bug’s anger boiled over, becoming malevolent and vengeful.","Overestimate, lucky, sorcery, amaze","My expectation of the dog’s jumping powers were far beyond what it could
achieve, as I had overestimated its ability to leap.
Wow! I can hardly believe it, I am so lucky to be admitted to graduate school.
She could hardly imagine the power of his sorcery, so it left her amazed.","Sty, unsatisfied, animosity","The odor from the sty in the room, made my stomach churn as it was unbearable
to be in there for any longer.
His animosity towards the group left everyone unsatisfied because their
questions were unanswered.","Lonely, glad","He was lonely, but was glad because it was the first time he felt at peace with
himself.
Although she was lonely, she learned more about herself, which made her glad to
be alone.","Cautious, wreak","The citizens were cautious as they knew the army would wreak havoc on them if
they made a sound.
She was filled with fear and anger as she viewed the damage on her home from
the water leak, vowing to be more cautious in the future so it does not happen
again.","Gasp, explosion, cringe, sickening","I was taken aback with a feeling of both gasping shock and disgust when I
learned the explosion could have been avoided.
I cringed and gasped as I watched the sickening movie kill off the protagonist.","Deserted, wealth, hiss","The avatar hissed as the wealthy king deserted his people.
The deserted castle was once home to wealthy merchants, but now only hisses
in the wind."
"Agony, savage, betrayed, stripped","I sat on the grass in agony, longing for someone because the savage world betrayed me by
stripping me of my mother.",enthusiastic,"Last weekend, I found out that I’m such a city person because when I was at the nightclub, I
was dancing so enthusiastically that my feet were never on the floor for more than a second.",anxious,"Sitting in the dark in my living room, I anxiously check my phone every minute, wondering why
my teenage daughter isn’t home at midnight.",Vehement,"I have never heard so many curse words until the day my dad vehemently berated Troy for
impregnating his girlfriend at 16 years old.",,,mouth,"Surrounded by my family and friends, I opened my Harvard admissions letter, and our mouths
plopped open when I read that I was accepted into Harvard Law.","Cry, smile","I can’t help but cry when I think about my best friend’s death, but I also can’t help but smile
when I think about the memories I made with him.","Hate, scared","I really hate that Elon Musk announced layoffs today with no regard for our wellbeings, but I’m
scared to express my opinions because I might get targeted during the layoffs.","Aghast(surprise), homeless(disgust), hairy(disgust)","This morning, I was so aghast when I saw a homeless man’s hairy body while he was
shamelessly pooping in a Janitor’s mopping bucket in a NYC subway station.","Conceal (sadness), tears(sadness) excited (joy), abandoned(fear)","I was so excited to see my wife pursue her dream job in a different country but secretly I was
concealing my tears because I felt abandoned to take care of our son."
ache,"She could feel her heart start to ache knowing the little
time they had to spend together was coming to an end.","laugh, excitement, jump","Setting sail on the final island in their journey filled the
crew with excitement. Some jumped with joy, others sighed a breath of relief, but
he simply laughed at the sight presented before them.",suppress,"Knowing he was powerless against the tyrant regime’s
army, all he could do was suppress his fear as they plundered all of his
belongings.",snarl,"The tiger snarled as the hunter sneaked closer, warning
him to keep his distance.",shock,"He felt that he would surely win the duel as he confidently
took 10 paces forward. He suddenly turns and quickly takes his shot. He pauses
for a second, shocked as he sees his foe standing unharmed, before falling to the
ground himself.","deform","As the rescue team rushes to aid the infected, they can’t
help but look with disgust at their deformed limbs.","cry, fulfill, excite","An enormous sense of fulfillment rushed over the team
as they scored the winning point. But as their excitement came to an end, they
couldn’t help but cry knowing that this would be the last time they would play
together.","dictator, rebel, oppressive, rebel, oppressive","Twelve years of an oppressive dictatorship is all the
country’s people had any memory of. Unable to endure the pain any longer, a
resistance was formed in secret. Having gathered a large enough following,
today marked the beginning of their rebellion.","paralyzed, monstrosity","As the adventurers reached the end of the dungeon,
they noticed that the treasure was guarded by an ominous ooze. When they
approached it, they were paralyzed in fear as the ooze took on the form of their
closest loved ones.","wonderful, dismay, dismay, afraid","“Here, the last of the $10,000. You’re keeping your word
right? Leave this town now and release my family.” She was relieved at the
thought of finally bringing peace to this town. “Oh, how wonderful! But did you
really think I was done? Thanks for bringing me the money, but I no longer have
a need for you. Leave.” She dropped to her knees, laying in dismay. The
strong-willed girl she had built herself to become had suddenly disappeared and
she was once again afraid of the man standing in front of her."
abysmal,"The dog sat inside of his abysmal house, longing to be outside.",hero,"In the movie, the boy’s hero defeated the villain making the boy leap in the air.",carcinoma,"The doctor came into the room and began describing the deadly carcinoma seen
on the scan to the patient’s family.",rebellion,"The girl stomped to her room after her parents sent her upstairs because of her
act of rebellion.",confession,"The jury could not believe the witness’s confession as the lawyer broke him
down.",bacteria,"The family looked away in horror, as the bacteria continued to grow.","antisocial, sadness, hopeful, joy
","Despite being antisocial throughout the years, I am hopeful that I will make new
friends in college.","dishonor, fear, renounce, anger","He did not want to dishonor his family, but he renounced the family business to
go to college.","marry, surprise, disappointment, disgust","She thought he was bending down on one knee to ask her to marry him, but to
her disappointment, he was just tying his shoe.","injury, sadness, healing, joy, discipline(d), fear
","Despite her traumatic injury, she was happy to know that she was healing well
only if she continued on her disciplined regimen of medications."
"desert, undesirable, deceased, desolation, weeping","The widower weeps for his deceased wife.","ditty, playhouse, rejoicing, entertainment, daughter","He rejoiced at the sight of his newly born daughter.","seclusion, cringe, bayonet, confessional, agony","I have been secluded in this cell for the past two days
with no food or water, and only the voices in my head for company.","diabolical, disillusionment, blasphemous, sneer, delusion","The people, disillusioned by the recent actions of the
government, have risen up in protest.","pleasant, variable, improvise, frenetic, defy","How pleasant it is to see your delivery package arrive two
days early.","contaminate, perversion, birch, antipathy, sickening","The birch trees have been contaminated by an
unidentified affliction, leaving their bark in a sickening shade of green.","commemorate, undying, unbeaten, mother, heartfelt"," We commemorate this brave and caring mother, whose
act of sacrifice demonstrates her undying love for her children.","rascal, fluctuation, deprivation, mislead, unthinkable"," The fact that the school district would deprive children of
access to lunch is unthinkable.","scream, celebrity, rave, uncertain, affront"," The recent actions of this celebrity musician are nothing
less than an affront to humanity.","outburst, opera, destination, weight, endless","The weight in the voice of the opera singer conveyed the
melange of emotions that Odysseus experiences as he reaches his destination at
long last, marking the conclusion of his seemingly endless voyage at sea."
"Disconnect, Damages, Unsuccessful,","This unsuccessful negotiation not only caused us substantial damages,
but also deepened the disconnect between us.","Felicity, Smiling, Love,","Whenever I see my wife's smiling face, my heart fills with love and felicity","Lion,anxious, Unsafe,","While I was exploring the grasslands, the roar of lions in the distance
made me feel incredibly unsafe and anxious.","Storming,Arguments, Opinionated,","He is very opinionated when it comes to money-related topics, leading to
storming arguments every time.","Reappear, Prank, Unforeseen","Just when we thought the prank was over, he suddenly reappeared out of
nowhere with an unforeseen twist that left us all surprised.","Garbage,Maggot,Squirm,","The sight of maggots squirming in the garbage disgusted me, and I
couldn't stand the repulsive creatures.","Music,Felicity,Negative,","Despite the negative memories the music evokes, I can't help but feel a
sense of felicity as I recall the happy times we shared together.","Homicidal,Stone,Hazardous,","The sight of the homicidal maniac throwing a stone at our car made me
feel both fearful, knowing that the situation was highly hazardous.","Slush,Startling,Garbage,","As I stepped into the slush-filled alley, a startling sight made me sick - a
pile of rotting garbage.","
Sympathetic,Happy,Scare,Hurt","I was happy to see his sympathetic side, but at the same time scared and
hurt by his second personality."
