Sadness Lexicons,Sadness Sentences,Joy Lexicons,Joy Sentences,Fear Lexicons,Fear Sentences,Anger Lexicons,Anger Sentences,Surprise Lexicons,Surprise Sentence,Disgust Lexicons,Disgust Sentences,Sadness + Joy Lexicons,Sadness + Joy Sentences,Fear + Anger Lexicons,Fear + Anger Sentences,Surprise + Disgust Lexicons,Surprise + Disgust Sentences,Sadness + Joy + Fear Lexicons,Sadness + Joy + Fear Sentences
"betrayal, helplessness, sickening","The sickening realization finally dawned on Mariano. His closest friend and confidant,
Ethan, was behind the murders all along. “How did I not realize this sooner?” wondered
Mariano. For once, he did not know what to do next. The acute feeling of helplessness was not
something he had experienced before. He finally resolved that he would do whatever it took to
rectify his former ally’s betrayal.","astonishment, embrace, victory","It was finally match point, after a three hour battle of attrition on the center court. My
partner and I shared a look of determination before he bounced the ball back to me. I stood at the
service line and took a deep breath, then went through the motions I had practiced millions of
times before: toss the ball up, bend my legs and wind up my body for the perfect contact, and
release the energy from my legs all the way to my fingertips. And before I knew what happened,
my partner was embracing me. I realized with astonishment that I had served the first ace of the
game. To this day, I have never experienced a sweeter victory.","disintegrate, suffocating, wrecked.","When I walked into the dimly lit abandoned house, a suffocating stench immediately
struck me. I felt chills go down my spine as I shined my flashlight upon a completely wrecked
grand piano. What was once a beautiful marvel of human achievement and creativity was now
nothing more than a disintegrating symbol of despair.","contempt, delusional, insult","“You really think I would trust you again, after what you did to my family? You’re
delusional, Ethan,” Mariano spat out. Ethan, composed as ever, merely taunted, “You insult me,
my loyal friend... you know I was only trying to help save you. At the end of the day, your
family would have been your ruin, and you know it.”
“Enough with the mind games. You and I both know there’s only one way this ends.”
Mariano’s stare of contempt remained fixated on Ethan as he slowly withdrew his saber.","bewilderment, carnage, overestimate","Ethan looked down in bewilderment at the blade that was now inches deep in his chest.
He had never even had to struggle to succeed in defeating an opponent. How was it possible that
his former friend, whom he had defeated in spars with ease since childhood, had finally
triumphed?
“How?” was all Ethan managed to choke out.
“Your weakness was always overestimating yourself, Ethan. You really think I didn’t let
you win all these years?”
As the light left Ethan’s eyes, Mariano walked past him through the carnage that resulted
from their epic battle. “My city will never be the same,” he mused.","aversion, degrading, idiot.","“No way you’re going to drink that,” I said as my friend lifted the entire cup of ranch to
her lips.
“A bet’s a bet,” she replied.
My friend has never had an aversion to doing extreme things, but this was perhaps the
most degrading thing she had agreed to yet.
“You’re an idiot, you know that?” I said in disbelief, as she started drinking the ranch.","agony, passion"," Tonight was the night of my big performance. My passion for the violin has
manifested itself as countless hours of dedication and sometimes even agony, but it’s all worth it
for me.","malignant, assassinate","“Please don’t do it. You’re going to regret it,” I pleaded to the masked man. He merely let
out a malignant chuckle.
“I’m afraid I have no choice. This is my life’s goal. I have no other meaning than to
accomplish the assassination of the president.”
His croon crescendoed into a roar as he started yelling, “YOUR PRESIDENT IS A
PHONY! I WILL BRING TRUE JUSTICE TO OUR PEOPLE!”","compliment, detest","Leon, my ex-husband, pitifully knelt before me. “Please give me one more chance.” He
pulled out a bedazzled turquoise necklace from his pocket. “Remember this? You always looked
so beautiful wearing it.”
My eyes widened in surprise. The necklace was a gift to me on our first date as a couple.
I hadn’t seen it in decades. “Complimenting me won’t work, Leon. I detest the fact that you even
thought this encounter would work. Please, don’t try to find me anymore. It really is over for
good this time.”","wane, familiarity, criminal","I looked across at my brother, Jack, for the first time in years. It was a relief to finally be
sitting across from him again. He let out a wan smile.
“Why did you leave me?” I asked him. His smile crumpled.
“I couldn’t visit you because I was too busy making a name for myself. I had to distance
myself from our toxic household. I really am sorry.”
I didn’t know how to feel. Everything felt so familiar, yet it was clear he was not the
same person. “You can’t ever do that to me again, Jack. It would be criminal for you to leave me
again,” I responded. I waited uneasily as he didn’t respond for what felt like an eternity.
“I can’t make any promises,” he replied."
"blue,emptiness,invalid","Rohit: Whenever I think about the times you used to be mine, feeling of
blue washes over me like a large wave.
Chatgpt: Whenever thoughts of our time together cross my mind, I'm
overcome by a wave of blue that washes over me.
Rohit: The emptiness she left me feeling inside is overwhelming. I long for
her accompaniment and how things used to be.
Chatgpt: The overwhelming sense of emptiness left in her wake weighs
heavily on my heart, and I find myself yearning for her comforting
presence and the way things used to be between us.
Rohit: I am always the happy guy and when I truly open up to other about
how I really feel, my feelings are often looked at as invalid and not
sincere. It only adds to my weight of sadness that I carry around on the
daily inside.
Chatgpt: As someone who's always been seen as the happy-go-lucky
type, opening up to others about my true feelings can be a struggle,
especially when those feelings are met with dismissal or viewed as
invalid. It's an added weight that I carry with me daily, knowing that my
authentic emotions are not fully understood or appreciated.","beach,doll,whimsical","Rohit: The beach has always been a happy place of mine. There is a
private beach in malibu that I love to go to. It is where I can go to escape
reality and ground my emotions. I love to share this secret place with my
close friends the deep conversations I have with these people that mean
so much to me brings me joy.
Chatgpt: The beach has always been my happy place, but there's
something about the private shores of Malibu that holds a special place in
my heart. When I need to escape reality and ground my emotions, it's the
first place I go. Sharing this secret haven with close friends and having
deep conversations with those who mean the world to me brings an
indescribable feeling that I cherish.
Rohit: As a kid there was nothing that brought more joy to my sister than
playing with her dolls. As her older brother there way nothing more funny
to me than when our pet dog Biscuit would steal one of her toys and run
off with it.
Chatgpt: My sister's greatest source of entertainment as a child was
undoubtedly her collection of dolls, and as her older brother, nothing gave
me greater amusement than watching our mischievous pet dog Biscuit
steal one of her toys and dash off with it, much to her chagrin.
Rohit: Personally, there is nothing quite whimsical as cracking a joke in
an inappropriate setting. The satisfaction from making people laugh when
they are stressed makes me feeling like I did my job.
Chatgpt: For me, there's nothing quite as whimsical as cracking an
inappropriate joke in the most unexpected and hilarious of situations.","prevent,military,rattlesnake","Rohit: Getting vaccinated and practicing social distancing is crucial to
prevent the spread of COVID-19 and ease the fear of going outside that
has gripped the country.
Chatgpt: By getting vaccinated and diligently practicing social distancing,
we can effectively prevent the spread of COVID-19, which has kept many
from venturing outside their homes.
Rohit: The military’s presence in the town was felt throughout the village.
People began to wonder why they were setting up station in the town and
what dangers were present.
Chatgpt: The military presence in the area rippled through the community,
as they wondered what imminent danger could be lurking just beyond the
horizon.
Rohit: Although the kids were excited to see the rattlesnake up close
during the animal attraction at the birthday party, a lot of the party goers
did not want to get bit by the venomous snake.
Chatgpt: While some of the children were thrilled to observe the
rattlesnake up close during the animal attraction at the birthday party,
many of the attendees couldn't shake off their the thought of a venomous
snake bite.","hot,spanking,tension","Rohit: The protesting crowd was riled up following the injustices brought
upon their community by the police officers. You could feel the tension in
the air between the protestors and the riot force.
Chatgpt: The tension was palpable in the protesting crowd as they stood
their ground against the riot force, the air heavy with the hot emotions
fueled by the injustices their community had suffered at the hands of the
police officers.
Rohit: As a mischievous kid, I often would push my parents to their limits,
and spankings became a familiar punishment for my wrongdoings.
Chatgpt: As a mischievous kid, I often pushed my parents to the brink of
madness, and spankings became a familiar punishment for my
misbehavior.","abrupt,variable,zany","Rohit: The baseball game was placed on delay abruptly as the sunny
skies quickly gave way to a stormy sky, the fans were taken aback by the
surprising change of weather since the forecast did not account for it.
Chatgpt: The baseball game was unexpectedly disrupted by an abrupt
weather shift, as the bright and sunny skies swiftly turned into a stormy
scene, leaving the fans in utter surprise as it was not forecasted.
Rohit: The outcome of the social experiment was highly variable, it left
the experts questioned with the outcome of the initial trials.
Chatgpt: The experts were taken aback by the remarkably variable results
of the social experiment, which defied their initial expectations.
Rohit: The model' s zany outfit choice for the runway show left everyone
shocked as their eyes locked on her as she moved across the runway.
Chatgpt: The model's zany outfit choice for the runway show was so
unexpected that it left the audience in a state of shock, with all eyes fixed
on her and mouths agape in disbelief.","puke, secrete","Rohit: The smell of puke and from the sick dog throwing up the previous
night secreted out of the apartment and was awful to wake up to.
Chatgpt: The noxious odor emanating from the apartment, a result of the
sick dog vomiting the previous night, was repulsive to wake up to.","wrongdoing, accompaniment","Although she was haunted by her past wrongdoings, she found comfort in
the accompaniment of her closest friends who brought a sense of
understanding.","abandonment, yell","Rohit: As he slammed the door shut behind him, she let our a ear piercing
yell, the echo of her voice made her feel like she was truly abandoned in
the empy house.
Chatgpt: As she heard the final slam of the door, her throat tightened and
she let out a piercing yell, the echoes of abandonment ringing through the
empty house.","dismissal, untidy","I cringed at the sight of the dismissal letter buried under the a pile of
untidy crumpled homework assignments.","unhealthy, food, abuse","Rohit: I often times are reminded of the rule of diminishing returns
whenever I eat icecream, it is unhealthy food and I am oftentimes
overshadowed by guilt.
Chatgpt: Whenever I indulge in ice cream, the rule of diminishing returns
always comes to mind - the fleeting pleasure it brings is quickly overtaken
by a wave of guilt following my 3rd cone, knowing how unhealthy it is for
me."
abandoned,"The young boy sat alone on the curb, watching as families
walked by holding hands and laughing. He didn't understand why his parents had
abandoned him. His heart ached with the knowledge that he was all alone in the
world, with no one to turn to or care for him.",accomplished.,"After numerous interviews and coding challenges, he
finally landed a job as a software engineer at his dream company. He was feeling
accomplished and elated at the start of his new career journey",scarecrow.,"The man's heart raced as he walked towards the
scarecrow in the field. Suddenly, he felt a cold gust of wind blow past him, and as
he looked up, the scarecrow's lifeless eyes appeared to have come alive and
were now staring straight at him. The scene filled him with dread and sent
shivers down his spine.",fury.,"The boy felt the fury rise within him as he watched the
group of bullies taunt and humiliate his little brother. He was determined to put a
stop to their cruel behavior once and for all.",amaze.,"As she walked into the darkened room, she was amazed
to see her friends and family gathered there, all shouting ""Happy Birthday!"" in
unison.",repulsion.,"The taste of the rotten and moldy sandwich filled him with
repulsion, and he quickly spat it out, unable to swallow it.","aching for sadness, basketball for joy.","As he watched his daughter sink the winning basket in
the championship game, he couldn't help but feel aching sadness for his late
wife, who would have been so proud of their daughter's accomplishments on the
basketball court.","apparition for fear, revenge for anger.","The room was silent except for the sound of the
flickering candle on the nightstand. Suddenly, an apparition appeared in front of
the murderer. The ghostly figure was translucent and had a fierce look in its
eyes. The murderer froze in fear as the apparition approached him slowly, its
presence causing an icy chill to run down his spine. It was clear that the
apparition had come to take revenge on its killer. The murderer tried to run, but
the ghostly figure was too fast, and its grip was too strong. The apparition's
vengeance was swift and merciless, and the murderer's fate was sealed.","appalling for disgust, accident for
surprise.","I heard a loud bang and rushed outside to see what had
happened. I was met with a scene so appalling that I couldn't believe my eyes.
There was an accident involving two cars, and the impact was so intense that the
vehicles were barely recognizable. The air was thick with the acrid smell of
burning rubber, and I could see the twisted metal and broken glass scattered all
over the road. The sight made me feel sick to my stomach, and I had to turn
away for a moment to catch my breath.","adultery for sadness, afraid for fear,
adorable for joy.","John was over the moon when he received the news
that he and his wife were expecting their first child. He couldn't wait to start a
family with the woman he loved. But when he came home early from work one
day, he was greeted with a sight that shattered his happiness. There she was, in
their bedroom, committing adultery. Shock and disbelief turned into anger and
heartbreak as he realized what was happening. He quickly turned and ran out of
the room, his heart pounding in his chest. He was afraid of what he might do if he
had stayed any longer."
"Sorrow,Dying,Regret","The sorrowful expression upon the dying man’s face
revealed a deep sense of regret.","Ecstasy,Beauty","An overwhelming feeling of ecstasy washed over her as
she gazed upon the beauty of the night sky.","Trepidation,Glare,Menacing","His heart twitched with trepidation as his opponent stared
him down with a menacing glare.","Furious,Scream,Combat",He let out a furious scream as he leapt into combat.,"Jolt,Staggered","The blow sent a jolt through his body and he staggered
backward in a haze.","Flesh,Aberration,Rotting","The aberration lurched forth, dripping bits of rotting flesh
from its body.","Beautiful,Melancholy","He felt the tight grip of melancholy as he reflected on the
beautiful memories of his daughter.","Furious,Force,Menacing,Foe","His menacing blade descends upon his foe with the
force of a furious thunderbolt.","Waste,Rotting,Toxic,Staggered,Sliped,Suddenly","As the drunkard staggered home, he suddenly slipped
on a banana peel and into a rotting pile of waste. The toxic smell inundated his
olfactory senses.","Confident,Optimism,Shattered,Ominous","Their confident optimism was quickly shattered by
ominous news from Cannae."
"weight, denied","Jack was bullied at school because of his weight. She
was denied the promotion even though she had shown a great performance in
her work.","victory, inspired","His victory in the competition made his parents proud.
She was very inspired after her trip to Hawaii.","volcano, fever","The eruption of the volcano made the people flee their
homes. The parents were worried when their child had a fever.","fighting, mob","They started fighting when he forgot about their
anniversary. The mob started throwing things when the governor said they would
have to increase the taxes.","shriek, treachery","He shrieked when he saw a spider in his salad. She was
surprised when she found out about her friend’s treachery.","pollution, accusation","When I went surfing there was a lot of pollution in the
ocean, so I felt sick. He was disgusted by the accusations of his professor that he
cheated on the exam.","unfortunate, hopeful","Tom has been buying lottery tickets every week, but
unfortunately he has not won any yet. He does not give and is very hopeful that
one day he will get a lucky ticket.","bully, grab","Jake tried to avoid bullies but they would always grab
him and throw him into the dumpster, which made him very angry.","
unexpectedly, toilet",His toilet unexpectedly started to overflow.,"graduation; birthday, injure, scar","Graduation made me think about the people I had met
and the lessons I had learned, but I was happy about the new chapter in my life,
even though there were many more struggles ahead.
During a joyous celebration of his birthday Tom fell off a trampoline and injured
himself, which left a big scar on his leg for the rest of his life."
"abandoned, regret, wrongful, disabled, disappointed","Two years ago, my friend abandoned her dog in the park and she still
regrets her wrongful action.
I got so disappointed that Bank of America had disabled my credit
account due to an unpaid balance.","blessed, pleasant, accomplished, journey, young","As a young person, I always wonder where my life journey would take
me, but I hope I gain pleasant experiences along the way.
I feel blessed and accomplished that I am almost done with my Bachelors
degree in Computer Science.","lonely ,avoid, fire, mysterious, homicide, criminal, homeless, harm ","On a lonely mysterious night, I was walking home when suddenly a
homeless man began to follow me after I avoided him, fearing that he
would do something to harm me.
Today on Fox News, they reported that a mysterious fire started at an
elementary school, however, the police are saying that it could have been
started by a homicidal criminal trying to harm innocent children.","jealous, thief, punishment, stolen , disrespectful, disagree, ruined","I found it absolutely disrespectful that my little sister ruined my favorite
shirt out of jealousy.
The Supreme Court judges disagreed on the thief's punishment after
they had stolen a priceless artifact.","lucky, award, birthday, exciting","Today is my birthday and something exciting happened at school, I was
so shocked and lucky to win a big award from one of the raffles I
participated.","dirty, sick, toilet, germ, bacteria ","I told my little brother to not eat dirty food from the floor because it is
covered with germs and bacteria and he could get sick, but he didn’t
listen to me, and now he’s been in the toilet all day and vomiting nonstop.","disqualify, betray , humiliate, hire, progress, blessed,excellent","I felt betrayed that my favorite company disqualified me after the interview
process, that made me feel so humiliated having to apply to other companies,
however I am grateful to get hired in a prestigious company and I’m blessed to
be making excellent progress.","broken, hurtful, mad, shame,rage","After the hurtful words we exchanged, you were mad with rage that I feared you
would burst in anger and I was left feeling shame and internally broken.","lawsuit, distress,disaster, Surprising, abusing","It is absolutely surprising that Amber Heard accused Johnny Depp of
physically abusing her, which created a disaster of a lawsuit causing
Johnny Depp a great deal of distress.","unbearable, lose, absence, inseparable, hope, childhood, risk, happy, unwell,
friend","After news of you being unwell, putting you down was the only way to end your
pain, but I didn't want to risk losing my childhood friend.
In my memories, you and I were inseparable that the thought of your absence
became unbearable, but I only hope that you were happy until the very end, even
in heaven."
pensive,"He sat alone by the window, lost in a pensive mood as he reminisced
about the past.",Exquisite,"The elegant party was filled with exquisite decorations and delightful
laughter, lifting everyone’s spirit.",failing,"The student’s hands shook nervously as she started at the failing grade
on her exam, fearing the consequences.",Insignificant,"She couldn’t help but feel anger bubbling up inside her as she was
constantly treated as an insignificant member of the team.","deluge","The sudden deluge of rain caught everyone off-guard, leaving them
soaking wet and astonished.",Anaconda,"The sight of the massive anaconda slithering through the murky water
filled her with an overwhelming sense of disgust.","Desecration, connoisseur","The artist felt a strange mix of sadness and joy as she restored the
desecrated painting, knowing the was reviving the masterpiece for future
connoisseurs to appreciate.","Confession, standoff","His fear of losing her friendship mixed with anger as they found
themselves in a tense standoff, waiting for the other to make the first
confession.","
Quote, enemy","She was taken aback with surprise and disgust when her favorite author’s
new book included a quote that seemed to praise a notorious enemy of
peace.
",Pensive lamb whirlpool,"As the shepherd watches the young lamb escape the whirlpool, he felt a
mix of sadness, joy, and fear, pensive about the risks his beloved animals
faced in the unpredictable wilderness."
"Unlucky, traumatic, slaughtering, captive, prisoner, resign, isolation","Tim was unlucky. He had a traumatic experience witnessing the
slaughtering of captive prisoners. His horrific experience made him resign
from the military and put himself into isolation.","Achieve, award, art, prestige,","John achieved his lifelong goal of getting the most prestigious award for
one of his art pieces.","Anomaly, fear, catastrophe, casualty, violent, shrapnel, scream, destroy,
victim","For the first time, Ryan felt fear. There was an anomaly that destroyed the
city in front of him. He saw a great catastrophe unfold before him. He
heard screams of people being violently hit by the shrapnel of the
anomaly. Ryan himself also screamed in fear of being a victim of it.","Shout, prisoner, stab, wound,","Herlock shouted at the prisoner, “32 stab wounds! You didn’t leave him a
chance of staying alive, huh?!”","Sneeze, sudden, startled,",The sudden sneeze from Henry startled his cats and they ran away.,"Dastardly, filthy, foul, garbage, unbearable, trash","That dastardly man went into the house and came out with filthy and foul
garbage. I think I saw some fungus growing out of that unbearable trash
can.","Closure, commemorate","We commemorated the closure of our store by leaving a time capsule
buried somewhere inside.","Abandonment, abhorrent, abomination","The abandonment of those children are abhorrent to all of us. What kind
of abomination does such a thing?","Attacking, betray","I saw the faces of those who were attacking us. I can’t believe that they
betrayed us.","Honest, feeling, endless, destination","We were about to reach our final destination. To be honest, I wish that our
journey could be endless. I have a feeling that we may not see each other"
"Resignation, resigned, anguish","After his wife left him, he lost his job, and his dog passed, he was resigned to a life of eternal
anguish.","Music, delightful, friend","The music that was playing in the cafe was as delightful as a sunny, afternoon picnic with close
friends.","Thirteenth, cemetery, anxiety","Friday the thirteenth always elicited anxiety in her whenever she had to work past the cemetery
after work at night.","Hoax, hurtful","Hearing the various hoaxes that his friend was spewing at him at the bar was honestly one of
the most hurtful things he had ever experienced.","Divorce, flinch, sudden","The sudden divorce papers from her husband didn’t even cause her to flinch, since she had
been expecting it for the past year.","Boy, rat, discontent","The boy was so interested in rats, that he brought one of the home, much to his mother’s
discontent.","Sonnet, mother, lovely","The sonnet the man made about his mother who had recently passed was so lovely that it had
made it onto the newspaper.","Hopelessness, dismissal
","The hopelessness that he felt from his dismissal from Google made him feel as if he had
nothing left to lose in life.","Scream, trickery",The scream the girls let out from the boy’s trickery could be heard from two blocks away.,"Outburst, sympathetic, honest","The outburst from the woman made all of the immediate onlookers sympathetic to her plight,
due to her raw, honest emotions."
"collapse","The news caused my world to collapse, leaving me feeling lost and hopeless.",Elated,"The moment I laid my eyes on the acceptance letter from my dream school, an
overwhelming feeling of elation and achievement washed over me.",Abortion,"When the thought of needing an abortion crossed Jesse’s mind, she was
consumed by immense fright!",denounce,"
Filled with rage, her father stood up and denounced her actions, making it clear
that he would never see her again.",Alarm,"Her boyfriend’s abrupt breakup without any explanation
left her feeling alarmed and confused.",corpse,"Jason felt disgusted and recoiled at the sight of the decaying corpse, his stomach
churning with nausea.","Melancholic, beautiful","We felt melancholic as we watched the beautiful sunset
over the ocean, reflecting on the beauty of the moment and the fleeting nature of
life.","scream, scream","Walking down the dark alley, he noticed a shadowy
figure behind him and screamed before impulsively lunging toward it.","Punch, Instinctive","The first time I drank alcohol, the punch of its taste was
so nasty that my instinctive reaction was to spit it out instantly.","Calamity, Joy, Abduction","Link’s quest to save Hyrule from calamity Gannon and
rescue Princess Zelda from abduction was filled with heart-wrenching sadness
and triumphant joy as he battled against the forces of evil to restore peace to the
land."
"Horror, distraught","He was distraught by the horrors he saw during his time in the war.
","Pleased, Medal","Pleased with her performance, Maggie was able to win the tournament and finally
wear the first place medal she longed for.","Tumor, Hopelessness","He felt an overwhelming sense of hopelessness when the doctor said his tumor
was not shrinking.","Offended, Restrain","Offended by his actions, Kyle had to restrain himself from slapping Logan in the
face.","Wizard, vanished","The wizard vanished before the child’s very eyes. He disappeared without a
trace.","Vomit, infect, pungent","Jayden thought he was going to vomit after seeing the man's infected foot. There
was a pungent smell that would not leave his nose.","Thrill,Worried,","Though Sandra was thrilled to be finally graduating after 4 years, she could not
help but be worried about entering the job market.","Whimper,violently,","The man whimpered after violently getting attacked by the mountain lion.
Pleading for help, he knew his life was in danger.","Unexpectedly,smell,","Mark spent hours trying to find the root of the smell. He discovered that a rat had
unexpectedly died in his attic.","wound,ejoicing,Weary,","Though he was rejoicing that the stab wound looked like it was healing nicely, he
was weary that there was an unknown infection."
"grief, hollow","Grief, I’ve learned, is really just love. It’s all the love you want to give, but cannot.
All that unspent love gathers up in the corners of your eyes, the lump in your
throat, and in that hollow part of your chest. Grief is just love with no place to go.","accomplishment, pride, cheer","The pride of their accomplishment welled up within their hearts as the crowd
cheered on.","Abandoned, Panic, Slam, Shriek, Asylum","The asylum was supposed to be abandoned. And yet, as I heard the door to the
morgue slam shut behind me, panic set in.",hit,"Everyday I wake up and I hope you're dead! I hope you get an illness and then
get hit by a car and die!","Shout, suddenly, Trip","As I whipped my head towards the sound of the shout, my foot suddenly caught
on a root; I tripped and tumbled down the hill.","Evil, Sin","Was it not your sin that trapped the unicorn? Even now the evil seed of what
you've done germinates within you.","Hope, Pain","Her heart brimmed so fully with hopes and dreams it’s a wonder there was room
for the pain.","Terror, Rage, Threaten, throb","I stifled my cries and clamped my hand over my mouth. My heart raced as terror
threatened to consume me. My temples throbbed and my fists clenched. I knew
he needed to pay.","Expect, Shock, Rot","The anticipation of sweetness made the putrid and vile stench of rot even more
shocking.","Loss, Worry, Love",I worry that someday I’ll forget the love I’ve lost.
"abandoned, wretched, wrongdoing","She abandoned me last night after saying some wretched things to me at the
party.","abundance, accolade, youth, zealous","I was grateful to have met him, his youthful attitude helped me reinvigorate my
own zest for life.","abandoned, abhor, xenophobia, yelp","I didn't think much of others' comments of her until she responded abhorrently to
my friendly question, leading me to believe that she unconsciously held some xenophobic
beliefs.","abandonment, abhor, abolish, wrongful, yell","I started yelling the most abhorrent things that I could possibly think of, furious
that they would make so many wrongful assumptions on my behalf.","abduction, accident, abrupt, yelp",She yelped when she accidentally ran into someone without paying attention.,"aberration, abhor, wretched, wrongdoing","I abhor him, so much that staring at his wretched face makes me feel sick."," youth, zeal
 abandon, abduction, abortion","The abandonment she had went through made her realize that she needed to
find her own youth and zest again."," abandon, abandoned, abandonment
 yell, yelp, youth","He started yelling aggressively to fight what he perceived to be his impending
abandonment."," abandonment, abduction, aberration
 yelp, young, zany, zeal",I yelped when I was suddenly abducted in the middle of the street.," abandonment, wrongly, xenophobia, yell
 absolution, accolade, accompaniment
 wretched, wrinkled, wrongly, abandoned","She yelled urgently before I was able to leave, hoping to fin absolution from her
wrongdoings."
wrongful,"Richard lowered his head in disbelief as he was
wrongfully accused of robbing the bank.",youth,"The father looked at his son’s youthful enjoyment as he
won the basketball game with his teammates.",swerve,"Due to the pouring rain and icy roads, Chris slammed the
brakes of his car in response to the truck in front of him swerving across the
freeway.",unfair,"Stephen waived his arms in disbelief as the referees
continued to impose unfair treatment during the game.",magical,"Paul was taken aback from the fireworks at Disneyland,
as it was his first time seeing the magical show at the amusement park.",grotesque,"Michael opened the fridge to an unwelcoming, grotesque
smell of expired food.","music, heartfelt","George flashed a heartfelt smiled as he listened to his
favorite music for the final time before going deaf.","combative, intense","Jason was combative to the rest of his teammates, for
he didn’t want to experience intense betrayal or loss ever again.","mutiny, treason","The pirate captain lowered his sword and forgoed his
command in response to the rest of the crew’s treasonous mutiny.","weight, endless, destination","As Ray waved goodbye to his daughter Ashley going off
to college, a weight was removed from his shoulders as he knew there were
endless possibilities at this new destination, and Ashley was ready to experience
it all."
"somber, sterile, whimper, weep","The somber sycophant whimpers and weeps in their
sterile house, unable to break their bonds to flattery.","passionate, orgasm, sex, love, magical","Loving, passionate sex always ends with a magical
orgasm.","ghastly, honest, intelligence","The giant, ancient entity that stood before her showed a
chilling, ghastly intelligence of all the things that it shouldn’t.","Erupt, hellish, fury",I erupt with hellish fury!,"Sorcery, mystic",The odd mystic then revealed to them all – it was sorcery!,"Cannibal, carcass, orc","The cannibal feasted on the carcass and rather
resembled an orc.","art, music",It’s reclaiming – to build art and music from your pain.,Cancer,"She screamed and swore at her cancer, for it was
inescapable.",,,,